sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1105,M,75.53,Central,71.07,Others,Science,70.96,Comm&Mgmt,No,62.98,Mkt&HR,77.89,Not Placed,268029.0
1106,M,70.09,Central,84.91,Central,Science,74.34,Comm&Mgmt,Yes,98.0,Mkt&Fin,73.54,Placed,287310.0
1107,M,79.31,Central,71.18,Others,Science,73.53,Comm&Mgmt,No,80.85,Mkt&Fin,65.88,Not Placed,206279.0
1108,M,58.74,Others,63.77,Central,Science,86.82,Comm&Mgmt,No,98.0,Mkt&HR,63.19,Placed,263031.0
1109,M,53.31,Others,37.0,Others,Science,80.22,Comm&Mgmt,No,97.6,Mkt&HR,65.52,Placed,200000.0
1110,M,69.02,Others,68.96,Others,Science,51.75,Sci&Tech,No,78.09,Mkt&Fin,58.47,Not Placed,279963.0
1111,F,53.98,Others,47.72,Others,Science,86.81,Comm&Mgmt,No,50.0,Mkt&Fin,68.87,Not Placed,263984.0
1112,M,48.45,Others,62.14,Others,Science,74.13,Sci&Tech,No,85.06,Mkt&Fin,72.46,Not Placed,
1113,M,89.4,Central,89.24,Others,Science,91.0,Comm&Mgmt,No,72.77,Mkt&Fin,62.47,Placed,244559.0
1114,M,69.77,Central,52.95,Central,Science,79.49,Comm&Mgmt,No,91.24,Mkt&HR,77.89,Not Placed,
1115,M,61.72,Others,63.08,Others,Science,82.65,Sci&Tech,No,90.11,Mkt&HR,66.38,Placed,281376.0
1116,M,67.08,Others,62.79,Others,Science,73.64,Others,Yes,78.58,Mkt&HR,61.99,Placed,222305.0
1117,M,40.89,Central,47.85,Central,Science,58.22,Comm&Mgmt,No,60.08,Mkt&Fin,51.21,Not Placed,259206.0
1118,M,73.24,Central,49.32,Central,Science,71.02,Sci&Tech,No,79.65,Mkt&Fin,75.1,Not Placed,265553.0
1119,M,89.28,Others,66.91,Others,Science,87.66,Comm&Mgmt,No,98.0,Mkt&Fin,61.9,Not Placed,284406.0
1120,M,44.56,Others,48.34,Central,Science,70.9,Comm&Mgmt,Yes,97.06,Mkt&Fin,72.79,Not Placed,200000.0
1121,M,89.4,Others,72.42,Central,Science,90.94,Comm&Mgmt,Yes,98.0,Mkt&HR,69.45,Not Placed,288254.0
1122,M,89.4,Others,80.6,Central,Science,85.16,Sci&Tech,No,61.65,Mkt&Fin,53.08,Not Placed,325929.0
1123,M,66.51,Others,45.48,Others,Commerce,67.12,Sci&Tech,No,82.43,Mkt&HR,77.88,Not Placed,
1124,M,89.4,Others,56.9,Central,Science,80.36,Sci&Tech,Yes,84.18,Mkt&HR,72.28,Not Placed,428055.0
1125,M,64.74,Others,91.27,Others,Science,77.92,Comm&Mgmt,No,98.0,Mkt&Fin,51.21,Not Placed,303732.0
1126,M,47.59,Others,59.67,Central,Commerce,59.41,Others,No,52.77,Mkt&HR,68.97,Placed,328687.0
1127,M,51.18,Central,64.8,Central,Commerce,54.27,Comm&Mgmt,No,98.0,Mkt&Fin,75.82,Not Placed,
1128,M,70.93,Central,50.36,Others,Commerce,70.6,Sci&Tech,No,61.05,Mkt&Fin,53.75,Placed,292326.0
1129,M,53.22,Others,39.48,Others,Arts,54.74,Comm&Mgmt,No,89.92,Mkt&Fin,53.39,Not Placed,
1130,M,60.05,Others,59.67,Central,Science,82.04,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,
1131,M,40.89,Central,71.79,Central,Commerce,61.14,Comm&Mgmt,Yes,61.17,Mkt&HR,58.44,Not Placed,
1132,M,89.4,Central,87.19,Others,Commerce,85.45,Comm&Mgmt,Yes,98.0,Mkt&Fin,69.88,Placed,297409.0
1133,M,41.27,Central,73.56,Central,Commerce,91.0,Comm&Mgmt,Yes,98.0,Mkt&Fin,61.67,Not Placed,
1134,M,89.4,Central,43.66,Central,Science,84.27,Comm&Mgmt,No,92.84,Mkt&HR,77.0,Placed,318388.0
1135,M,89.4,Central,66.17,Central,Arts,83.26,Comm&Mgmt,Yes,98.0,Mkt&Fin,67.0,Placed,202866.0
1136,M,73.39,Others,69.92,Central,Science,83.15,Sci&Tech,No,98.0,Mkt&Fin,77.89,Placed,
1137,M,60.48,Central,57.58,Others,Science,74.04,Comm&Mgmt,No,81.16,Mkt&HR,69.86,Placed,443306.0
1138,M,81.78,Central,72.58,Others,Science,91.0,Comm&Mgmt,No,74.12,Mkt&HR,77.89,Placed,597099.0
1139,M,72.78,Others,74.22,Central,Commerce,83.92,Comm&Mgmt,No,98.0,Mkt&Fin,60.03,Placed,
1140,F,50.5,Central,61.71,Central,Science,74.64,Sci&Tech,No,77.74,Mkt&Fin,77.41,Placed,
1141,M,74.46,Others,42.74,Central,Science,77.83,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,200000.0
1142,M,40.89,Others,67.26,Others,Science,91.0,Comm&Mgmt,Yes,98.0,Mkt&Fin,74.22,Not Placed,311663.0
1143,M,62.02,Others,61.3,Central,Commerce,86.31,Comm&Mgmt,No,54.91,Mkt&HR,73.21,Not Placed,317073.0
1144,M,83.8,Central,68.21,Central,Science,67.5,Comm&Mgmt,No,92.14,Mkt&Fin,67.56,Placed,301372.0
1145,M,66.38,Others,72.34,Others,Science,67.34,Comm&Mgmt,No,98.0,Mkt&Fin,65.98,Placed,231313.0
1146,F,79.64,Central,82.78,Central,Science,79.6,Sci&Tech,Yes,66.89,Mkt&Fin,77.89,Not Placed,
1147,M,89.4,Others,37.0,Central,Commerce,88.92,Comm&Mgmt,No,91.43,Mkt&HR,62.87,Placed,200000.0
1148,M,87.58,Others,63.72,Central,Science,64.03,Comm&Mgmt,No,98.0,Mkt&HR,73.95,Not Placed,290997.0
1149,M,88.61,Others,68.11,Central,Commerce,80.81,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,319787.0
1150,M,50.04,Others,47.71,Others,Commerce,85.63,Comm&Mgmt,No,68.05,Mkt&HR,71.94,Not Placed,
1151,M,40.89,Others,78.63,Central,Science,61.09,Comm&Mgmt,No,80.62,Mkt&Fin,77.89,Placed,320781.0
1152,M,47.27,Others,62.96,Central,Science,82.18,Sci&Tech,No,83.34,Mkt&HR,68.8,Not Placed,
1153,M,44.87,Others,49.07,Central,Commerce,77.78,Comm&Mgmt,No,98.0,Mkt&Fin,70.59,Not Placed,
1154,M,66.61,Others,74.43,Others,Commerce,78.35,Comm&Mgmt,Yes,67.5,Mkt&HR,77.89,Not Placed,
1155,M,76.1,Others,37.0,Central,Science,80.67,Sci&Tech,No,98.0,Mkt&Fin,70.22,Placed,274921.0
1156,F,65.07,Central,65.6,Central,Science,73.33,Sci&Tech,Yes,90.9,Mkt&Fin,70.81,Placed,
1157,M,51.06,Others,87.74,Central,Commerce,78.53,Comm&Mgmt,Yes,98.0,Mkt&Fin,66.87,Placed,313182.0
1158,F,56.56,Central,52.43,Others,Science,73.99,Comm&Mgmt,Yes,83.35,Mkt&Fin,58.42,Not Placed,247996.0
1159,M,81.73,Central,82.48,Others,Science,74.28,Sci&Tech,No,98.0,Mkt&Fin,69.89,Not Placed,306782.0
1160,M,89.4,Central,60.11,Others,Arts,67.02,Sci&Tech,No,98.0,Mkt&HR,77.89,Placed,
1161,M,75.02,Central,61.04,Others,Commerce,72.09,Comm&Mgmt,No,67.21,Mkt&Fin,59.88,Placed,
1162,F,52.26,Central,41.37,Central,Science,61.06,Sci&Tech,No,98.0,Mkt&HR,66.12,Not Placed,274022.0
1163,M,55.06,Others,90.96,Others,Science,73.75,Comm&Mgmt,No,98.0,Mkt&Fin,77.26,Placed,
1164,F,81.52,Central,67.68,Central,Commerce,71.33,Comm&Mgmt,No,98.0,Mkt&HR,53.34,Not Placed,
1165,M,55.58,Others,63.41,Others,Science,90.66,Comm&Mgmt,No,55.65,Mkt&Fin,70.15,Not Placed,287945.0
1166,M,48.19,Central,60.74,Central,Science,71.26,Comm&Mgmt,No,75.5,Mkt&Fin,69.28,Not Placed,275124.0
1167,M,40.89,Central,37.0,Central,Commerce,66.95,Comm&Mgmt,No,98.0,Mkt&HR,75.31,Not Placed,
1168,M,76.49,Others,50.82,Others,Science,91.0,Comm&Mgmt,No,90.87,Mkt&Fin,70.26,Placed,217827.0
1169,M,72.21,Others,87.16,Others,Science,60.37,Comm&Mgmt,No,98.0,Mkt&Fin,71.79,Placed,315251.0
1170,M,40.89,Central,88.29,Central,Commerce,52.85,Sci&Tech,No,98.0,Mkt&HR,76.88,Placed,322984.0
1171,M,84.7,Central,58.41,Central,Science,80.6,Sci&Tech,No,98.0,Mkt&HR,71.24,Placed,285277.0
1172,M,46.69,Others,59.34,Others,Commerce,74.25,Comm&Mgmt,No,98.0,Mkt&HR,76.82,Placed,
1173,F,89.4,Central,52.95,Central,Science,80.78,Sci&Tech,Yes,73.03,Mkt&Fin,77.89,Not Placed,300776.0
1174,M,85.13,Others,66.98,Central,Science,77.43,Sci&Tech,Yes,93.24,Mkt&HR,62.89,Not Placed,271161.0
1175,M,89.4,Others,68.86,Central,Commerce,91.0,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,
1176,F,57.63,Central,64.28,Others,Science,67.29,Comm&Mgmt,Yes,96.22,Mkt&HR,74.57,Placed,284259.0
1177,M,62.09,Others,71.62,Central,Science,61.05,Comm&Mgmt,No,90.3,Mkt&HR,77.01,Placed,
1178,M,68.35,Central,77.16,Central,Science,61.02,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,330461.0
1179,M,49.88,Others,43.33,Central,Commerce,52.94,Comm&Mgmt,No,96.47,Mkt&Fin,67.81,Not Placed,301671.0
1180,M,82.09,Central,73.34,Others,Commerce,81.13,Others,Yes,79.23,Mkt&Fin,75.37,Placed,309595.0
1181,M,40.89,Others,37.0,Others,Science,56.01,Comm&Mgmt,No,98.0,Mkt&HR,66.88,Placed,
1182,M,65.26,Others,67.93,Central,Science,67.29,Sci&Tech,No,75.91,Mkt&HR,67.23,Not Placed,200000.0
1183,M,72.51,Central,37.0,Central,Science,74.24,Comm&Mgmt,No,83.86,Mkt&HR,69.41,Not Placed,
1184,M,49.85,Others,37.0,Others,Commerce,87.4,Comm&Mgmt,No,92.92,Mkt&Fin,60.41,Placed,
1185,M,89.4,Central,37.0,Central,Science,87.08,Comm&Mgmt,No,98.0,Mkt&Fin,75.99,Not Placed,
1186,M,81.04,Central,63.26,Central,Commerce,75.43,Comm&Mgmt,No,85.47,Mkt&Fin,64.91,Not Placed,
1187,M,89.4,Others,73.84,Others,Science,73.24,Comm&Mgmt,No,98.0,Mkt&HR,59.92,Placed,528268.0
1188,M,72.3,Others,58.05,Central,Commerce,81.92,Comm&Mgmt,Yes,74.21,Mkt&Fin,74.21,Placed,
1189,M,54.01,Central,48.97,Others,Arts,82.29,Comm&Mgmt,No,74.64,Mkt&HR,72.15,Not Placed,200000.0
1190,M,59.98,Central,82.05,Others,Science,88.06,Comm&Mgmt,Yes,98.0,Mkt&Fin,64.77,Not Placed,266357.0
1191,M,79.53,Others,73.71,Central,Science,74.05,Comm&Mgmt,No,72.29,Mkt&HR,64.85,Placed,295311.0
1192,M,40.96,Central,63.88,Central,Commerce,57.98,Comm&Mgmt,No,98.0,Mkt&HR,65.15,Placed,267638.0
1193,F,87.68,Central,68.84,Central,Science,87.0,Comm&Mgmt,No,83.6,Mkt&Fin,55.71,Placed,267812.0
1194,F,60.98,Others,89.51,Others,Science,64.78,Comm&Mgmt,Yes,87.13,Mkt&Fin,59.91,Placed,
1195,M,55.39,Others,37.0,Central,Arts,86.8,Comm&Mgmt,No,71.46,Mkt&HR,73.83,Not Placed,214228.0
1196,M,83.62,Others,52.89,Others,Science,76.46,Comm&Mgmt,No,98.0,Mkt&HR,70.59,Not Placed,
1197,M,52.88,Central,65.48,Central,Science,50.0,Comm&Mgmt,No,69.56,Mkt&Fin,76.46,Not Placed,
1198,M,40.89,Others,87.9,Central,Science,65.19,Comm&Mgmt,No,72.69,Mkt&Fin,74.45,Placed,
1199,F,51.89,Others,58.12,Central,Commerce,54.47,Comm&Mgmt,Yes,98.0,Mkt&HR,61.08,Not Placed,
1200,M,70.84,Others,74.2,Central,Arts,77.78,Comm&Mgmt,No,98.0,Mkt&Fin,67.29,Placed,330889.0
1201,M,74.85,Others,71.36,Central,Commerce,85.31,Others,No,76.46,Mkt&Fin,68.24,Placed,200000.0
1202,M,73.45,Central,49.22,Others,Arts,82.17,Comm&Mgmt,No,60.26,Mkt&Fin,77.89,Placed,
1203,F,89.4,Others,71.48,Others,Commerce,78.29,Sci&Tech,Yes,94.5,Mkt&Fin,77.89,Placed,321051.0
1204,M,79.0,Central,95.37,Others,Commerce,75.85,Comm&Mgmt,No,81.09,Mkt&HR,77.54,Not Placed,348876.0
1205,M,40.89,Others,64.24,Others,Commerce,50.0,Comm&Mgmt,No,80.65,Mkt&HR,77.89,Not Placed,514795.0
1206,M,54.76,Others,50.77,Central,Commerce,50.0,Comm&Mgmt,Yes,75.59,Mkt&Fin,77.89,Not Placed,
1207,M,69.88,Others,66.76,Central,Commerce,80.48,Comm&Mgmt,No,98.0,Mkt&Fin,77.55,Not Placed,
1208,M,89.4,Central,74.36,Others,Science,84.57,Comm&Mgmt,No,98.0,Mkt&HR,58.61,Not Placed,
1209,M,76.67,Others,72.65,Central,Science,50.0,Comm&Mgmt,No,98.0,Mkt&Fin,62.52,Not Placed,250481.0
1210,M,86.09,Others,71.3,Others,Commerce,68.1,Sci&Tech,Yes,98.0,Mkt&HR,65.53,Placed,263082.0
1211,M,76.46,Others,58.11,Others,Science,86.87,Comm&Mgmt,No,98.0,Mkt&Fin,63.07,Not Placed,282349.0
1212,M,80.28,Others,84.69,Central,Commerce,54.12,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
1213,M,47.63,Central,89.43,Others,Science,50.0,Sci&Tech,No,79.1,Mkt&Fin,77.66,Not Placed,
1214,M,61.58,Others,70.46,Central,Commerce,78.0,Comm&Mgmt,Yes,79.31,Mkt&Fin,77.89,Placed,333497.0
1215,M,40.89,Central,37.0,Central,Science,62.56,Comm&Mgmt,No,79.55,Mkt&HR,70.4,Not Placed,
1216,M,89.4,Others,88.76,Central,Commerce,76.42,Comm&Mgmt,Yes,94.98,Mkt&Fin,70.3,Placed,295860.0
1217,M,63.74,Others,61.33,Central,Commerce,79.17,Comm&Mgmt,Yes,98.0,Mkt&Fin,72.35,Not Placed,302356.0
1218,M,80.17,Central,74.87,Others,Commerce,72.94,Sci&Tech,No,76.14,Mkt&Fin,69.22,Not Placed,
1219,M,70.7,Others,64.87,Central,Science,90.22,Comm&Mgmt,Yes,66.32,Mkt&HR,77.89,Placed,
1220,M,79.76,Others,55.24,Central,Science,70.53,Comm&Mgmt,No,94.52,Mkt&Fin,65.49,Placed,326733.0
1221,M,59.58,Others,57.11,Central,Science,84.44,Sci&Tech,Yes,98.0,Mkt&Fin,68.05,Not Placed,200000.0
1222,M,68.79,Others,44.23,Others,Commerce,56.26,Sci&Tech,No,98.0,Mkt&HR,67.95,Not Placed,325695.0
1223,M,58.62,Others,49.57,Others,Science,77.72,Comm&Mgmt,Yes,57.77,Mkt&Fin,65.78,Not Placed,
1224,F,79.73,Others,54.71,Central,Science,77.16,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,297782.0
1225,M,88.25,Central,55.75,Others,Science,69.03,Comm&Mgmt,No,64.33,Mkt&HR,77.72,Not Placed,287283.0
1226,M,89.4,Central,59.49,Others,Science,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,73.02,Placed,297862.0
1227,M,80.95,Central,52.11,Others,Science,68.75,Comm&Mgmt,No,81.94,Mkt&Fin,70.19,Not Placed,318758.0
1228,F,40.89,Central,86.27,Central,Arts,76.42,Comm&Mgmt,No,62.33,Mkt&Fin,75.53,Not Placed,325599.0
1229,M,84.04,Others,67.06,Others,Science,89.2,Comm&Mgmt,Yes,98.0,Mkt&Fin,74.35,Placed,
1230,M,89.4,Others,59.28,Central,Science,81.6,Sci&Tech,Yes,67.0,Mkt&HR,72.61,Not Placed,316974.0
1231,M,85.34,Central,56.58,Central,Science,81.12,Sci&Tech,No,50.0,Mkt&Fin,71.82,Placed,299279.0
1232,M,68.14,Others,71.45,Central,Commerce,82.0,Sci&Tech,No,98.0,Mkt&Fin,66.33,Not Placed,
1233,M,62.77,Central,95.54,Others,Science,74.09,Comm&Mgmt,No,98.0,Mkt&Fin,72.95,Placed,
1234,M,43.2,Others,43.63,Others,Science,84.33,Comm&Mgmt,No,67.11,Mkt&Fin,77.89,Not Placed,
1235,M,82.28,Others,89.49,Central,Commerce,70.34,Comm&Mgmt,Yes,98.0,Mkt&HR,69.83,Not Placed,296066.0
1236,M,74.97,Others,88.23,Others,Commerce,74.34,Comm&Mgmt,Yes,75.69,Mkt&Fin,67.48,Placed,
1237,F,63.13,Others,83.71,Central,Science,73.52,Sci&Tech,No,98.0,Mkt&Fin,77.89,Not Placed,
1238,F,88.36,Others,75.72,Central,Science,84.82,Comm&Mgmt,No,73.69,Mkt&Fin,76.03,Not Placed,
1239,M,80.58,Others,49.53,Central,Commerce,79.98,Comm&Mgmt,No,82.85,Mkt&Fin,69.3,Not Placed,
1240,F,68.46,Others,75.83,Others,Commerce,67.35,Comm&Mgmt,Yes,78.88,Mkt&HR,64.31,Placed,200000.0
1241,M,80.39,Central,68.63,Others,Commerce,72.62,Comm&Mgmt,No,98.0,Mkt&HR,51.21,Not Placed,
1242,M,86.19,Central,45.52,Central,Science,81.29,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,255216.0
1243,M,53.68,Central,60.19,Central,Science,87.3,Comm&Mgmt,No,73.91,Mkt&Fin,75.41,Not Placed,285278.0
1244,M,79.73,Others,66.81,Others,Commerce,64.92,Comm&Mgmt,No,77.4,Mkt&Fin,70.61,Placed,347535.0
1245,M,62.02,Others,68.94,Others,Commerce,73.2,Comm&Mgmt,Yes,76.06,Mkt&HR,64.14,Placed,252396.0
1246,M,66.89,Central,61.71,Central,Commerce,53.63,Sci&Tech,No,76.54,Mkt&Fin,64.61,Placed,
1247,M,89.4,Central,56.46,Central,Science,84.32,Sci&Tech,No,89.73,Mkt&Fin,75.54,Not Placed,
1248,M,42.05,Central,51.23,Central,Science,80.67,Sci&Tech,No,94.15,Mkt&HR,72.08,Not Placed,
1249,F,49.56,Central,64.18,Others,Science,53.71,Comm&Mgmt,No,95.29,Mkt&Fin,70.14,Not Placed,
1250,M,54.41,Others,37.0,Central,Science,57.45,Sci&Tech,No,93.07,Mkt&HR,77.72,Not Placed,
1251,M,67.28,Central,64.25,Others,Commerce,54.66,Comm&Mgmt,Yes,93.91,Mkt&HR,69.35,Not Placed,
1252,M,45.44,Central,50.26,Others,Science,83.6,Comm&Mgmt,No,57.33,Mkt&HR,58.01,Not Placed,200000.0
1253,M,68.99,Central,86.7,Central,Science,50.0,Sci&Tech,No,92.84,Mkt&HR,69.33,Not Placed,
1254,M,59.28,Central,42.06,Central,Science,91.0,Sci&Tech,Yes,57.22,Mkt&Fin,69.86,Not Placed,
1255,M,73.32,Others,47.3,Others,Commerce,84.34,Comm&Mgmt,No,98.0,Mkt&Fin,72.79,Not Placed,
1256,M,46.26,Central,84.43,Others,Science,53.73,Comm&Mgmt,No,57.25,Mkt&HR,68.69,Not Placed,219194.0
1257,F,60.79,Others,71.3,Others,Science,50.0,Comm&Mgmt,No,80.04,Mkt&HR,71.5,Not Placed,
1258,F,81.38,Central,43.91,Others,Commerce,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,70.89,Placed,200000.0
1259,M,61.08,Central,63.33,Central,Arts,83.89,Comm&Mgmt,No,50.38,Mkt&Fin,76.62,Not Placed,306739.0
1260,F,50.75,Others,78.48,Others,Science,50.0,Comm&Mgmt,No,98.0,Mkt&Fin,55.43,Not Placed,275305.0
1261,M,68.51,Central,73.73,Central,Science,60.84,Comm&Mgmt,No,88.32,Mkt&Fin,77.89,Placed,
1262,M,43.8,Others,43.74,Central,Commerce,80.2,Sci&Tech,Yes,98.0,Mkt&HR,68.81,Not Placed,
1263,M,40.89,Central,51.89,Others,Science,50.0,Comm&Mgmt,No,98.0,Mkt&HR,62.31,Placed,
1264,F,89.4,Others,59.33,Others,Science,80.79,Comm&Mgmt,No,59.98,Mkt&Fin,74.76,Not Placed,246650.0
1265,M,80.22,Others,55.44,Central,Science,87.37,Comm&Mgmt,Yes,77.07,Mkt&Fin,77.89,Placed,
1266,M,85.32,Others,97.7,Others,Commerce,60.42,Comm&Mgmt,No,81.87,Mkt&HR,53.55,Not Placed,297117.0
1267,M,70.51,Others,56.82,Others,Science,71.99,Comm&Mgmt,No,98.0,Mkt&Fin,67.97,Not Placed,
1268,F,55.04,Others,73.34,Central,Science,71.81,Comm&Mgmt,No,91.57,Mkt&Fin,77.65,Placed,447629.0
1269,F,74.06,Central,55.23,Central,Arts,70.89,Comm&Mgmt,No,85.81,Mkt&Fin,77.89,Not Placed,270542.0
1270,M,87.54,Central,52.76,Others,Commerce,74.21,Comm&Mgmt,Yes,98.0,Mkt&Fin,59.49,Not Placed,
1271,M,57.68,Others,48.88,Central,Commerce,73.47,Comm&Mgmt,No,98.0,Mkt&Fin,63.96,Placed,265867.0
1272,M,81.07,Central,61.76,Central,Arts,57.6,Sci&Tech,No,98.0,Mkt&Fin,77.89,Placed,300248.0
1273,M,86.17,Central,54.22,Central,Commerce,63.11,Sci&Tech,No,98.0,Mkt&Fin,62.14,Not Placed,
1274,M,65.15,Central,74.14,Others,Commerce,66.54,Comm&Mgmt,No,84.14,Mkt&Fin,77.89,Not Placed,204080.0
1275,M,60.01,Others,44.19,Others,Commerce,58.73,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
1276,M,67.43,Others,58.95,Others,Commerce,87.61,Comm&Mgmt,No,98.0,Mkt&Fin,70.84,Not Placed,343912.0
1277,F,59.46,Central,67.59,Central,Science,79.13,Comm&Mgmt,No,50.99,Mkt&Fin,71.02,Placed,
1278,F,71.13,Central,37.0,Central,Science,84.96,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,234941.0
1279,M,89.4,Central,59.38,Central,Commerce,83.75,Comm&Mgmt,No,90.45,Mkt&Fin,77.89,Not Placed,339423.0
1280,M,89.4,Others,84.57,Central,Commerce,68.87,Sci&Tech,No,98.0,Mkt&Fin,77.89,Placed,323608.0
1281,M,71.4,Others,64.21,Others,Science,89.63,Comm&Mgmt,Yes,80.19,Mkt&Fin,66.84,Placed,273291.0
1282,M,83.43,Others,92.49,Central,Science,65.35,Comm&Mgmt,Yes,72.11,Mkt&Fin,74.6,Not Placed,
1283,F,71.55,Central,70.32,Others,Science,85.72,Sci&Tech,No,96.14,Mkt&HR,64.98,Placed,320000.0
1284,M,89.4,Others,64.97,Central,Commerce,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,62.1,Placed,312889.0
1285,M,51.53,Central,57.33,Others,Commerce,58.37,Comm&Mgmt,No,97.18,Mkt&Fin,77.89,Not Placed,321836.0
1286,M,74.4,Central,57.33,Central,Commerce,76.45,Sci&Tech,No,72.81,Mkt&Fin,68.62,Placed,
1287,M,87.64,Others,82.28,Central,Science,65.41,Comm&Mgmt,Yes,81.04,Mkt&Fin,71.87,Placed,285638.0
1288,M,77.31,Others,79.93,Others,Science,58.99,Sci&Tech,No,98.0,Mkt&HR,77.43,Placed,251571.0
1289,F,81.85,Others,91.91,Others,Science,63.91,Comm&Mgmt,No,95.22,Mkt&Fin,75.34,Placed,940000.0
1290,M,89.4,Central,68.81,Central,Science,86.19,Comm&Mgmt,No,91.95,Mkt&HR,77.89,Placed,321407.0
1291,M,65.91,Others,45.41,Central,Science,68.22,Comm&Mgmt,No,90.61,Mkt&HR,62.35,Not Placed,
1292,M,68.3,Others,49.77,Others,Commerce,74.48,Comm&Mgmt,No,98.0,Mkt&Fin,58.9,Not Placed,200000.0
1293,M,46.27,Others,86.63,Central,Commerce,66.92,Comm&Mgmt,No,98.0,Mkt&Fin,62.5,Not Placed,
1294,F,69.1,Central,49.92,Others,Science,52.83,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,
1295,M,41.49,Central,68.63,Central,Science,62.44,Sci&Tech,Yes,81.1,Mkt&HR,77.89,Not Placed,305039.0
1296,M,40.89,Others,44.77,Central,Commerce,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,51.21,Placed,273962.0
1297,M,66.33,Central,70.43,Central,Science,73.0,Sci&Tech,No,69.68,Mkt&Fin,66.12,Placed,339822.0
1298,M,47.0,Central,81.68,Central,Arts,58.46,Comm&Mgmt,No,65.43,Mkt&HR,63.51,Not Placed,
1299,M,61.7,Central,72.19,Central,Science,50.0,Sci&Tech,Yes,98.0,Mkt&Fin,77.89,Placed,327925.0
1300,F,58.69,Central,69.06,Central,Science,57.36,Comm&Mgmt,No,98.0,Mkt&Fin,66.77,Placed,
1301,M,51.57,Others,37.0,Central,Commerce,91.0,Sci&Tech,Yes,98.0,Mkt&HR,68.8,Placed,255178.0
1302,M,64.94,Central,44.29,Others,Science,82.19,Comm&Mgmt,No,70.52,Mkt&Fin,67.53,Placed,305905.0
1303,M,61.82,Others,57.6,Central,Science,70.62,Comm&Mgmt,No,91.66,Mkt&HR,77.89,Not Placed,
1304,F,78.97,Central,68.8,Others,Science,79.11,Comm&Mgmt,Yes,80.51,Mkt&Fin,77.89,Placed,306694.0
1305,F,89.4,Others,88.01,Others,Science,59.16,Comm&Mgmt,No,98.0,Mkt&HR,77.8,Placed,314860.0
1306,M,74.68,Central,70.25,Others,Commerce,80.68,Sci&Tech,Yes,56.97,Mkt&Fin,77.89,Not Placed,
1307,M,40.89,Others,53.04,Central,Science,72.81,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
1308,M,66.52,Central,86.05,Others,Science,65.7,Comm&Mgmt,No,74.83,Mkt&Fin,75.2,Not Placed,299643.0
1309,M,40.89,Others,62.33,Central,Commerce,55.01,Comm&Mgmt,Yes,98.0,Mkt&HR,77.89,Not Placed,
1310,M,74.26,Central,77.3,Central,Commerce,81.85,Comm&Mgmt,No,98.0,Mkt&Fin,69.06,Placed,316131.0
1311,M,46.23,Others,62.56,Central,Science,81.7,Sci&Tech,No,88.06,Mkt&HR,67.34,Not Placed,
1312,F,40.89,Others,53.68,Central,Science,73.52,Comm&Mgmt,No,85.89,Mkt&Fin,77.89,Placed,200000.0
1313,M,73.74,Central,74.5,Central,Science,50.0,Sci&Tech,No,98.0,Mkt&HR,74.72,Not Placed,332902.0
1314,M,86.18,Others,71.2,Others,Science,88.54,Sci&Tech,No,98.0,Mkt&HR,77.89,Placed,413423.0
1315,M,84.27,Others,82.62,Central,Science,90.57,Comm&Mgmt,No,80.71,Mkt&Fin,67.77,Not Placed,261826.0
1316,F,58.27,Central,74.95,Central,Commerce,75.41,Comm&Mgmt,No,98.0,Mkt&Fin,64.32,Not Placed,200000.0
1317,M,61.95,Others,71.6,Central,Commerce,62.58,Comm&Mgmt,No,88.95,Mkt&Fin,54.54,Placed,311731.0
1318,M,89.4,Others,76.84,Central,Science,91.0,Comm&Mgmt,No,66.69,Mkt&HR,51.21,Placed,200000.0
1319,M,64.56,Central,53.6,Central,Commerce,80.11,Comm&Mgmt,No,71.49,Mkt&HR,68.3,Placed,
1320,F,83.98,Others,77.82,Others,Arts,78.23,Comm&Mgmt,No,79.61,Mkt&HR,74.69,Not Placed,
1321,M,51.98,Others,37.0,Central,Commerce,66.3,Comm&Mgmt,No,78.39,Mkt&Fin,68.97,Not Placed,
1322,M,84.43,Others,76.1,Central,Science,70.05,Comm&Mgmt,No,98.0,Mkt&Fin,69.31,Placed,324548.0
